address,source
bcn.pool.minergate.com,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
bestETNpool.com,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
bestxmrpool.com,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
beta.slushpool.com,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
bic.mypool.name,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
bip.mypool.name,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
bip.mypool.online,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
bip.poolto.be,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
bitcoin.miningpoolhub.com,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
bitcoin-cash.miningpoolhub.com,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
bitcoinz.getpool.network,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
bitconnectpool.co,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
blog.slushpool.com,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
bohemianpool.com,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
boolberry.extremepool.org,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
btc.poolmining.eu,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
btg.altpool.pro,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
btgpool.pro,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
calc.btgpool.pro,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
checkcoin.miningpoolhub.com,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
chekazpools.com,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
clortho.multipool.us,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
cn.dwarfpool.com,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
cn.stratum.slushpool.com,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
coal.mypool.name,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
coal.mypool.online,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
coinpool.cloud,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
coins.poolto.be,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
coinspool.cu.cc,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
connect.pool.bitcoin.com,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
console.pool.bitcoin.com,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
cpanel.graftpool.net,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
crevacoin.miningpoolhub.com,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
cryptohunger.com,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
cryptominingpool.eu,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
cryptonotepool.org,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
cryptonotepool.org.uk,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
crypto-pool.fr,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
cryptopool.pro,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
cryptoxpool.com,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
cure.cryptopools.com,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
darkcoin.miningpoolhub.com,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
dash.miningpoolhub.com,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
dash.poolmining.eu,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
dash.poolto.be,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
dashpool.coinversus.com,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
db.xmrpool.net,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
dbix.drowningpool.net,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
dc.deltapool.net,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
dcr.pool.mn,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
dcy.mypool.name,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
dcy.mypool.online,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
de.ckpool.org,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
decred.mine.zpool.ca,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
deltapool.net,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
depool.ckpool.org,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
depoolstratum.ckpool.org,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
destratum.ckpool.org,https://raw.githubusercontent.com/andoniaf/mining-pools-list/master/mining-pools.lst
